scheme_id,scheme_name,department,category,description,beneficiary,benefit_type,eligibility,required_documents,application_mode,application_link,official_website,official_source,status,last_verified
TN-AD-004,TAHDCO Economic Assistance Scheme for Land Purchase,Adi Dravidar & Tribal Welfare / TAHDCO,Agricultural Livelihood,Financial subsidy to poor SC/ST women to buy agricultural land.,SC / ST Poor Women Farmers,"50% Subsidy on land purchase cost (up to ₹5,00,000)","SC/ST women aged 18 to 55; Family annual income < ₹3,00,000",Community Certificate; Income Certificate; Land Sale Agreement; Aadhaar Card,Online/TAHDCO Portal,https://tahdco.tn.gov.in/,https://tahdco.tn.gov.in/,https://tahdco.tn.gov.in/,Active,2026-07-30
TN-LB-001,Tamil Nadu Manual Workers Welfare Board Social Security Benefit Scheme,Labour Welfare & Skill Development,Labour Welfare,"Comprehensive welfare benefits (marriage, education, maternity, natural/accidental death) for unorganized manual workers.",Registered Manual Unorganized Workers,"Financial grant for marriage (₹20000), education (₹1000-8000), death relief (₹50000-500000)",Registered member of Tamil Nadu Manual Workers Welfare Board aged 18 to 60,Welfare Board Membership Card; Aadhaar; Bank Details; Claim-specific proofs,Online/Labour Portal,https://tnuwwb.tn.gov.in/,https://tnuwwb.tn.gov.in/,https://tnuwwb.tn.gov.in/,Active,2026-07-30
TN-LB-002,Tamil Nadu Construction Workers Welfare Board Assistance Scheme,Labour Welfare & Skill Development,Labour Welfare,"Educational, medical, maternity, and pension support for registered construction workers.",Registered Construction Workers,"Monthly Pension (₹1000 at age 60), Educational assistance for children, Accidental insurance",Registered construction worker in TN with active membership,Construction Welfare Board Smart Card; Aadhaar; Bank Passbook,Online/Labour Portal,https://tnuwwb.tn.gov.in/,https://tnuwwb.tn.gov.in/,https://tnuwwb.tn.gov.in/,Active,2026-07-30
TN-LB-003,Tamil Nadu Drivers Welfare Board Assistance Scheme,Labour Welfare & Skill Development,Labour Welfare,"Welfare assistance for auto, taxi, heavy vehicle, and commercial transport drivers.",Registered Transport Drivers,"Accidental Death Relief (₹5 Lakhs), Spectacles Allowance, Educational Support",Commercial Driving License holder registered with TN Drivers Welfare Board,Driver Badge / License; Welfare Board ID; Aadhaar Card; Bank Details,Online/Labour Portal,https://tnuwwb.tn.gov.in/,https://tnuwwb.tn.gov.in/,https://tnuwwb.tn.gov.in/,Active,2026-07-30
TN-FS-001,Universal PDS Free Rice Scheme,Food & Consumer Protection,Food Security,Free monthly allotment of rice to all eligible priority household and non-priority ration card holders.,Ration Card Holders (PHH / AAY / NPHH),Free Rice (up to 20kg per family/month or 35kg for AAY),All valid Smart Ration Card holders in Tamil Nadu,Smart Ration Card / Aadhaar Linked Fingerprint,PDS Fair Price Shop,https://tnpds.gov.in/,https://tnpds.gov.in/,https://tnpds.gov.in/,Active,2026-07-30
TN-FS-002,Special Public Distribution System (Subsidized Essential Commodities),Food & Consumer Protection,Food Security,"Supply of essential kitchen commodities like Toordal, Palmolein oil, and Sugar at heavily subsidized prices.",Smart Ration Card Holders,"Highly subsidized Toor Dal (₹30/kg), Palmolein Oil (₹25/litre), Sugar (₹13.50/kg)",All valid Smart Ration Card holders in Tamil Nadu,Smart Ration Card,PDS Fair Price Shop,https://tnpds.gov.in/,https://tnpds.gov.in/,https://tnpds.gov.in/,Active,2026-07-30
TN-AG-001,Free Electricity Supply for Agricultural Pump Sets,Agriculture & Farmers Welfare / TANGEDCO,Agricultural Subsidy,Uninterrupted free electricity supply to farmers for agricultural irrigation pumpsets.,Farmers with Agricultural Land,100% Free Power for Agri Pumps,Farmers holding agricultural land with authorized TANGEDCO power connection,Patta/Chitta; TANGEDCO Connection Record; Aadhaar,TANGEDCO / Agri Dept,https://www.tangedco.gov.in/,https://www.tangedco.gov.in/,https://www.tangedco.gov.in/,Active,2026-07-30
TN-AG-002,Kalaignarin All Village Integrated Agriculture Development Programme,Agriculture & Farmers Welfare,Agriculture Development,"Integrated agricultural kit distribution, free saplings, micro-irrigation subsidies, and soil testing.",Farmers in Selected Village Panchayats,"Free Seed Kits, Coconut Saplings, Spraying Equipment, Micro-Irrigation 100% Subsidy for Small Farmers",Resident farmer in designated village panchayat; Chitta holder,Patta/Chitta; Aadhaar Card; Bank Passbook,Agri Dept / Uzhavan App,https://tnagrisnet.tn.gov.in/,https://tnagrisnet.tn.gov.in/,https://tnagrisnet.tn.gov.in/,Active,2026-07-30
TN-AG-003,Chief Minister's Solar Powered Pump Sets Scheme,Agriculture & Farmers Welfare / TEDA,Renewable Energy Subsidy,70% capital subsidy for farmers installing off-grid solar-powered agricultural water pumpsets.,Farmers,70% Subsidy for 5HP / 7.5HP / 10HP Standalone Solar Water Pumping Systems,Farmers with agricultural land water source not having free grid power connection,Patta / Chitta; Well/Borewell Certificate; Aadhaar Card; Bank Details,Agri Dept / Online Portal,https://tnagrisnet.tn.gov.in/,https://tnagrisnet.tn.gov.in/,https://tnagrisnet.tn.gov.in/,Active,2026-07-30
TN-AG-004,Kuruvai Cultivation Package Scheme,Agriculture & Farmers Welfare,Agricultural Relief & Subsidy,"Special subsidized input kit package (fertilizers, certified seeds, micro-nutrients) for Cauvery Delta farmers.",Delta Region Farmers,"100% Subsidized Paddy Seeds, Bio-fertilizers, Micro-nutrient mixtures, Mechanized Transplanting Subsidy",Farmers cultivating Kuruvai paddy crop in Delta districts,Chitta/Adangal; Aadhaar Card; Bank Account details,Agri Extension Centre / Uzhavan App,https://tnagrisnet.tn.gov.in/,https://tnagrisnet.tn.gov.in/,https://tnagrisnet.tn.gov.in/,Active,2026-07-30
TN-AH-001,Free Distribution of Milch Cows and Goats / Sheep Scheme,"Animal Husbandry, Dairying & Fisheries",Livelihood / Rural Development,Free distribution of milch cows or goats/sheep to poor rural women to boost rural dairy economy.,Rural Poor Women,1 Free Milch Cow or 4 Free Goats/Sheep,Landless rural women from BPL families; Resident of selected village panchayat,Income Certificate; Community Certificate; BPL Card / Ration Card; Aadhaar,Offline/Grama Sabha Selection,Not Available,https://www.tn.gov.in/,https://www.tn.gov.in/scheme/data_view/44585,Active,2026-07-30
TN-FI-001,Fishermen Ban Period Relief Scheme,Fisheries & Fishermen Welfare,Livelihood Assistance,Special financial relief allowance to marine fishermen families during the 61-day annual fishing ban period.,Marine Fishermen Families,Financial assistance of ₹8000 per family for the ban period,Registered active marine fisherman in coastal Tamil Nadu; Member of Fishermen Co-op Society,Fishermen Co-op Society Membership Card; Aadhaar Card; Bank Account details,Fisheries Dept / Co-op Society,https://fisheries.tn.gov.in/,https://fisheries.tn.gov.in/,https://fisheries.tn.gov.in/,Active,2026-07-30
TN-FI-002,Fisherwomen Lean Period Special Allowance Scheme,Fisheries & Fishermen Welfare,Livelihood Assistance,Financial savings-cum-relief allowance for fisherwomen during the lean fishing season.,Registered Fisherwomen,Relief assistance of ₹6000 per year,Member of Fisherwomen Co-operative Society in coastal districts of TN,Fisherwomen Co-op Society ID; Aadhaar Card; Bank Passbook,Fisheries Dept / Co-op Society,https://fisheries.tn.gov.in/,https://fisheries.tn.gov.in/,https://fisheries.tn.gov.in/,Active,2026-07-30
TN-TR-001,Vidiyal Payanam (Free Bus Travel for Women),Transport,Transport Welfare,"Zero-fare travel for women, transpersons, and differently abled in town ordinary public transport buses.","Women, Transgender Persons, and Differently Abled + Attendant",100% Free Bus Travel in Ordinary Town Service Buses (Pink Buses),All women and transpersons living in or visiting Tamil Nadu,None required for women; Disability Card for differently abled,Automatic / Direct Boarding,Not Applicable,https://www.tn.gov.in/,https://www.tn.gov.in/scheme/data_view/88166,Active,2026-07-30
TN-TR-002,Free Student Bus Pass Scheme,Transport,Transport / Education Welfare,Free travel pass in State Transport Corporation buses for school and college students.,School and College Students,Free Smart Bus Pass for daily commute between residence and educational institution,"Students studying in recognized schools, ITIs, Polytechnics, and Govt Colleges",School/College Bonafide Certificate; Student Photo; Aadhaar,Institution Level / Online Transport Portal,https://tnstc.in/,https://tnstc.in/,https://tnstc.in/,Active,2026-07-30
TN-RD-001,Kalaignar Kanavu Illam Housing Scheme,Rural Development & Panchayat Raj,Rural Housing Welfare,Financial subsidy to build permanent concrete houses for poor rural families living in hutments.,Rural Hut Dwellers / Homeless Poor,Unit cost assistance of ₹3.5 Lakhs per house for concrete house construction,Living in thatched/hut houses in rural areas; BPL family registered in Village Panchayat,Patta / Land Document; BPL Ration Card; Aadhaar Card; Bank Passbook,Village Panchayat Level,https://tnrd.tn.gov.in/,https://tnrd.tn.gov.in/,https://tnrd.tn.gov.in/,Active,2026-07-30
TN-YW-001,Chief Minister's State Youth Award,Youth Welfare & Sports Development,Youth Recognition,Annual award recognizing outstanding community and social service by youth in Tamil Nadu.,Youth Volunteers,"Cash prize of ₹1,00,000, citation and medal",Age 15-32; Demonstrated exceptional community service in the preceding financial year,Proof of Social Service; Age Certificate; Aadhaar Card,Online,https://sdat.tn.gov.in/,https://sdat.tn.gov.in/,https://sdat.tn.gov.in/,Active,2026-07-30
TN-YW-002,Kalaignar Sports Kit Scheme,Youth Welfare & Sports Development,Sports Promotion,Distribution of comprehensive sports equipment kits to all village panchayats to promote rural sports.,Village Panchayats / Rural Youth,"Free sports equipment kit (Cricket, Volleyball, Football, etc.)","All 12,500+ Village Panchayats in Tamil Nadu",None (Provided to Panchayat Level),Direct Distribution,Not Applicable,https://sdat.tn.gov.in/,https://sdat.tn.gov.in/,Active,2026-07-30
TN-YW-003,Champion Development Scheme (CDS),Youth Welfare & Sports Development,Sports Scholarship,Financial scholarship and high-performance training for elite sports persons of Tamil Nadu.,Elite Athletes,"Financial grant up to ₹2,00,000 per year for nutrition, equipment and training",Medal winners at National/International level competitions,Sports Achievement Certificates; Aadhaar; Bank Details,Online / SDAT,https://sdat.tn.gov.in/,https://sdat.tn.gov.in/,https://sdat.tn.gov.in/,Active,2026-07-30
TN-HO-001,Tamil Nadu Housing Board (TNHB) Subsidized LIG Flats,Housing & Urban Development,Housing,Allotment of affordable built-up flats and plots for Low Income Group categories.,LIG Citizens,Subsidized cost for flats/plots via draw of lots,"Family income < ₹3,00,000 per year; Native of TN; Should not own house/flat in TN",Income Certificate; Nativity Certificate; Aadhaar Card,Online TNHB Portal,https://tnhb.tn.gov.in/,https://tnhb.tn.gov.in/,https://tnhb.tn.gov.in/,Active,2026-07-30
TN-HO-002,TNULM (Urban Livelihood Mission) Shelter for Urban Homeless,Housing & Urban Development,Urban Welfare,Providing 24x7 all-weather permanent shelters with basic amenities for the urban homeless.,Urban Homeless Persons,"Free Shelter Accomodation, Food, Basic Medical Support",Homeless individuals identified by urban local bodies,None required,Direct Walk-in / Rescue,Not Applicable,https://www.tnurbantree.tn.gov.in/,https://www.tnurbantree.tn.gov.in/,Active,2026-07-30
TN-CO-001,Crop Loan Scheme (Co-operative Societies),"Co-operation, Food & Consumer Protection",Agriculture Finance,Interest-free short-term crop loans distributed through Primary Agricultural Cooperative Credit Societies (PACCS).,Farmers,Interest-free crop loan if repaid within due date,Member of PACCS; Owning agricultural land or cultivating as tenant,Chitta/Adangal; Aadhaar Card; Passport Photo,PACCS Branch Level,Not Available,https://www.tncu.tn.gov.in/,https://www.tncu.tn.gov.in/,Active,2026-07-30
TN-CO-002,Kisan Credit Card (KCC) Scheme via Co-operatives,"Co-operation, Food & Consumer Protection",Agriculture Finance,Issuance of Kisan Credit Cards to farmers through cooperative banks for timely agriculture credit.,Farmers and Fishermen,Credit limit based on crop cultivation with subsidized interest rate,"Farmers, Tenant Farmers, Sharecroppers, and Fishermen",Land holding record / Fisheries license; Aadhaar; Bank Details,PACCS Branch Level,Not Available,https://www.tncu.tn.gov.in/,https://www.tncu.tn.gov.in/,Active,2026-07-30
TN-CO-003,Pledge Loan for Farmers against Agricultural Produce,"Co-operation, Food & Consumer Protection",Agriculture Finance,Loans issued against the pledge of agricultural produce stored in regulated market godowns to avoid distress selling.,Farmers,"Pledge loan up to 75% of produce value or ₹3,00,000 maximum at low interest",Farmers storing produce in Regulated Market Godowns,Godown Receipt; Aadhaar Card; Bank Passbook,Regulated Market Office,Not Available,https://tnagrimarketing.tn.gov.in/,https://tnagrimarketing.tn.gov.in/,Active,2026-07-30
TN-EX-001,Amalgamated Fund for Ex-Servicemen Welfare,Public (Ex-Servicemen Welfare),Ex-Servicemen Welfare,"Financial grants covering education, marriage, and housing repairs for ex-servicemen and their dependents.",Ex-Servicemen / Widows / Dependents,"Marriage Grant, House Repair Grant, Education Scholarship",Registered Ex-Servicemen or Widows; Domiciled in Tamil Nadu,Discharge Book; Ex-Servicemen ID Card; Dependent Proof; Aadhaar,District Soldier Board,Not Available,https://www.exwel.tn.gov.in/,https://www.exwel.tn.gov.in/,Active,2026-07-30
TN-EX-002,Life Time Monthly Financial Assistance for World War Veterans / Widows,Public (Ex-Servicemen Welfare),Ex-Servicemen Welfare,Monthly pension for veterans of World War II or their surviving widows.,WWII Veterans / Widows,"Monthly pension of ₹10,000",Veteran of WWII not receiving any other military pension; Domiciled in TN,Discharge Book proving WWII Service; Non-Pensioner Certificate; Life Certificate,District Soldier Board,Not Available,https://www.exwel.tn.gov.in/,https://www.exwel.tn.gov.in/,Active,2026-07-30
